v2,v1
"बधाई हो, आप जीत गए 800000000000000000000000000",ham
"प्रिय ग्राहक, आपका डेबिट कार्ड सुरक्षा कारणों से ब्लॉक कर दिया गया है। कृपया 24 घंटे के भीतर अपना कार्ड अनब्लॉक करने के लिए लिंक पर क्लिक करें: https://secure.bankofamerica.com/card/block/unblock",ham
उत्तर,ham
"प्रिय ग्राहक, आपका केवाईसी सफलतापूर्वक अपडेट कर दिया गया है। आपके समर्थन के लिए धन्यवाद।",ham
कृपया रुपये का भुगतान करें. अपने लंबित बिलों का भुगतान करने के लिए आज ही 120000/- रु.,ham
"नमस्ते, हमें आपका भुगतान प्राप्त हो गया है। कृपया नीचे दिए गए लिंक में कैशियर का विवरण देखें। https://t.co/H486Nxh546",ham
"प्रिय ग्राहक, आपके खाते पर 121.00 रुपये का लेनदेन लंबित है, कृपया लेनदेन को पूरा करने के लिए हमारे ग्राहक सेवा नंबर पर हमसे संपर्क करें।",ham
बधाई! आपका हेलसिंकी 2023 आवेदन स्वीकार कर लिया गया है। 30000$ एकत्रित करने के लिए लिंक पर क्लिक करें,scam
आपने बिल्कुल नई 2022 टोयोटा कैमरी जीती है। बधाई हो! आपको एक लकी ड्रा गतिविधि में भाग लेने के लिए चुना गया है। आपका फ़ोन नंबर: +918080327137,ham
एसएमएस दिया गया,scam
मुझे आपको यह बताते हुए दुख हो रहा है कि हम अब आपकी सेवाओं का समर्थन करने के लिए उपलब्ध नहीं हैं। कृपया अपने विवरण की पुष्टि के लिए हमें 18008430008 पर कॉल करें। धन्यवाद,scam
आपने मोस्ट प्रॉमिसिंग एंटरप्रेन्योर का पुरस्कार जीता है। बधाई हो! कृपया नीचे दिए गए लिंक पर क्लिक करके अपना पुरस्कार सक्रिय करें और अपना व्यक्तिगत विवरण जोड़ें। https://bit.ly/3nK7yDt,ham
बधाई हो! आपने 2000 यूरो जीते। अपने विवरण की पुष्टि करने के लिए क्लिक करें: http://tinyurl.com/75b94g2,ham
"बधाई हो! आपको $500 का इनाम मिला है. अपना पुरस्कार प्राप्त करने के लिए, आपको अपने खाते की पुष्टि करनी होगी। लिंक पर क्लिक करें: https://shorturl.at/tJGU6",ham
"आपका भुगतान विफल हो गया, कृपया भुगतान विवरण की पुष्टि करें।",ham
आपको अपने लॉयल्टी पॉइंट्स से कोई लाभ नहीं मिल रहा है। कृपया अपने विवरण की पुष्टि करने और अपने खाते में 1000 अंक जोड़ने के लिए वापस संदेश भेजें,ham
बधाई हो! आपको अपने बैंक से एक नया संदेश मिला है. आपके पास नया आवक लेनदेन है. एसएमएस कोड: 238323,ham
आपका टेक्स्ट संदेश डिलीवर हो गया है...,ham
और पढ़ें,ham
"नमस्ते प्रिय, हमने देखा है कि आपका खाता निष्क्रिय है। कृपया अपने खाते के विवरण सत्यापित करें। यदि आप 72 घंटों के भीतर जवाब नहीं देते हैं तो आपको अपने खाते तक पहुंच से वंचित कर दिया जाएगा। अपने खाते के विवरण को सत्यापित करने के लिए, अपने खाते के विवरण के साथ उत्तर दें। धन्यवाद।",scam
"नमस्ते, एजेंसी ने 31,200 रुपये की राशि वसूल कर ली है। आज आपका भाग्यशाली दिन है। कृपया अपने फंड का दावा करने के लिए 9977971435 पर श्री जयेश से संपर्क करें। नोट: हम आपके फंड का 30% लेते हैं",ham
रुपये का कैशबैक. 50 आपके लिए उपलब्ध है. विवरण के लिए अपना खाता जांचें,scam
"प्रिय ग्राहक, सुरक्षा कारणों से आपका फ़ोन बिल भुगतान अस्वीकार कर दिया गया है। आपके खाते में हाल ही में हुई धोखाधड़ी गतिविधि के कारण। प्रक्रिया पूरी करने के लिए कृपया अपने पिन के साथ उत्तर दें।",scam
बधाई हो!! 2023 स्क्रैची कार्ड जीता ₨9581.22। दावा करने के लिए लिंक पर क्लिक करें: https://scratchies-org.com/winner/9581.22/456815204,scam
"प्रिय ग्राहक,",scam
हमें Paytm का उपयोग करके 5106949188 पर आपका 22500 रुपये का भुगतान प्राप्त हुआ है।,ham
एसएमएस अलर्ट: आपके भुगतान की पुष्टि का लिंक मोबाइल नंबर पर एसएमएस के माध्यम से भेजा गया है।,ham
3.1.2023 @ 11:31 अपराह्न अनुस्मारक: आपकी ऐप्पल आईडी लॉक कर दी गई है। \nअपनी आईडी पुनः सक्रिय करने के लिए कृपया यहां जाएं: https://appleid.apple.com/id/lock \nApple,ham
"बधाई हो, आपका MSISDN एयरटेल 5G नेटवर्क अपग्रेड के लिए चुना गया है।",scam
आपको एयरटेल के नए ग्राहक के रूप में एक आश्चर्यजनक इनाम के लिए चुना गया है। अपना इनाम पाने के लिए हमसे 07888977428 पर संपर्क करें।,ham
"नमस्ते, आपका बीएसएनएल मोबाइल नंबर ब्लॉक हो गया है, कृपया इसे अनब्लॉक करने के लिए 198 पर कॉल करें। +919555331010",ham
"प्रिय ग्राहक, आपकी मोबाइल मनी लेनदेन सीमा पार हो गई है। कृपया अपनी मोबाइल मनी सेवाओं को बहाल करने के लिए $168.00 के बिलिंग शुल्क का भुगतान करें। हमारी सेवाओं को चुनने के लिए धन्यवाद.",ham
"कृपया, हमारी सहायता टीम +442080658999 से संपर्क करें",scam
आपने DSTV प्रोमो में 125000 नायरा पुरस्कार जीता है। अपने पुरस्कार का दावा करने के लिए हमें 0702-283-1849 पर कॉल करें।,ham
"प्रिय ग्राहक,",ham
[संख्या] 📲🔔📩📨📧💌📩📬📩📨📧📩📬,scam
"नमस्ते, हम आप तक तत्काल पहुंचने का प्रयास कर रहे हैं। कृपया हमें +1 347 486 2678 पर वापस कॉल करें। धन्यवाद।",ham
"आपके भुगतान विवरण में कुछ समस्याओं के कारण आपका खाता लॉक हो गया है, कृपया अपने बैंक से संपर्क करें।",ham
"नमस्ते, हमें $15,000 की वसूली के लिए आपकी सहायता की आवश्यकता है! हमें अपने खाते में पैसा मिल गया है, लेकिन हम उस तक नहीं पहुंच पा रहे हैं। कृपया हमें 08034611250 पर कॉल करें और हमें अपना नाम, पता और खाता संख्या बताएं। हम इंतजार कर रहे हैं",ham
*सप्ताह के लिए आपका इनाम नीचे दिया गया है। कृपया अपने नजदीकी एटीएम से प्राप्त करें*,ham
"प्रिय महोदय, यहां आपके ऑर्डर आईडी के लिए आपका भुगतान विवरण है: 7832331113331188456। जमा की गई राशि खाता संख्या में 999.9999 है। 8810882",ham
"नमस्ते, आपके पास Netflix से सब्सक्राइब किए गए पैकेज के लिए 320 USD का भुगतान लंबित है। कृपया भुगतान करने के लिए नीचे दिए गए लिंक पर क्लिक करें: https://goo.gl/g8Cx1f",scam
"आपका संदेश: प्रिय महोदय,",ham
आपके खाते को निष्क्रिय कर दिया गया है,ham
500 6100 के माध्यम से भुगतान करें *** *** 3551 से *****,ham
*अनन्य*,scam
दवा ऑनलाइन खरीदें. अभी हमारी वेबसाइट पर जाएँ और पैसे बचाना शुरू करें।,ham
"प्रिय ग्राहक, आपका भुगतान सफलतापूर्वक संसाधित हो गया है। आपका 11 अंकों का लेनदेन नंबर 4211359092 है। आपके निरंतर समर्थन के लिए धन्यवाद।",scam
"बधाई हो! आपने [यूआरएल] से $2,5000 का उपहार कार्ड जीता है",scam
#आईपीएल #विश्वकप का आनंद ले रहे हैं? https://bitcoin-qr-scanner-app.com/ पर अपने निःशुल्क बिटकॉइन के साथ #आईपीएल2022 की अपनी लाइव स्ट्रीमिंग को अनलॉक करें।,ham
आपके UPI वॉलेट में INR 5000000.00 जमा किए जाते हैं। आप नीचे दिए गए लिंक पर क्लिक करके इसे एक्सेस कर सकते हैं: https://bit.ly/3O5IiC2,ham
हमारे उत्पाद हर किसी के लिए किफायती हैं!,ham
"प्रिय ग्राहक, आपका कार्ड समाप्त हो गया है। किसी भी असुविधा से बचने के लिए, हमें 180030017777 पर कॉल करें और इसे पुनः सक्रिय करें।",ham
आपका कैश बैक तैयार है. इसे अभी हमारे ऐप के माध्यम से प्राप्त करें। अभी डाउनलोड करें: https://bit.ly/3wjO1Fg,ham
"यह एसएमएस आपको भारतीय रेलवे की ओर से मिल रहा है। COVID-19 की वर्तमान स्थिति के कारण, भारतीय रेलवे ने आपको आपके परिवार और आपके लिए मुफ्त ट्रेन टिकट प्रदान करने का निर्णय लिया है। कृपया नीचे दिए गए लिंक पर क्लिक करें और अपना निःशुल्क टिकट प्राप्त करें: https://goo.gl/forms/qKR",ham
अन्य 90% से मिलें,ham
"प्रिय ग्राहक, आपने पुरस्कार जीता है, कृपया भुगतान के लिए अपना बैंक विवरण भेजें।",scam
आपका फ़ोन नंबर सफलतापूर्वक रुपये से रिचार्ज हो गया है। 100. आप www.airtel.co.in पर अपना बैलेंस चेक कर सकते हैं,ham
प्रसाद यादव का एसएमएस,scam
"क्या आपको लोन चाहिए? यदि हां, तो तत्काल प्रतिक्रिया पाने के लिए कृपया संदेश भेजें।",ham
"प्रिय ग्राहक, हमें आपके खाते में कुछ विसंगति मिली है। कृपया अपने खाते का विवरण सत्यापित करें. धन्यवाद, ईबैंक",ham
"आपने पुरस्कार जीता है! इसका दावा करने के लिए, हमें +17826334235 पर कॉल करें।",ham
*बधाई हो* आपने अभी-अभी एक मोबाइल बैटरी चार्जर जीता है।,ham
"यदि आप अपना पैसा वापस पाना चाहते हैं तो हमारे प्रतिनिधि से संपर्क करें, व्हाट्सएप: +14389684189",ham
"नमस्ते, मैं PayPal से हूं। आपका खाता धोखाधड़ीपूर्ण गतिविधि के कारण निलंबित कर दिया गया है। यदि आप 24 घंटे के भीतर इस समस्या का समाधान नहीं करते हैं, तो आपका खाता स्थायी रूप से बंद कर दिया जाएगा।",ham
"प्रिय ग्राहक, आपका खाता निष्क्रिय कर दिया गया है। पुनः सक्रियण के लिए, कृपया अपना पूरा नाम, पता और खाता संख्या 919680319713 पर एसएमएस के माध्यम से भेजें। धन्यवाद, वेस्टर्न यूनियन",ham
"*कृपया अपने नाम के साथ उत्तर दें, और हम आपको आपके खाते का एक लिंक भेजेंगे। यह लिंक दोबारा काम नहीं करेगा, इसलिए कृपया 24 घंटे के भीतर उत्तर दें। यदि आप उत्तर नहीं देते हैं, या यदि आप गलत नाम से उत्तर देते हैं, तो हम आपका खाता ब्लॉक कर देंगे। धन्यवाद*",ham
"प्रिय ग्राहक, आपका खाता ब्लॉक कर दिया गया है। कृपया समीक्षा के लिए तुरंत +18164131002 पर कॉल करें।",ham
"नमस्कार, नए आवेदन पत्र के लिए कृपया हमें 09048903618 नंबर पर निजी तौर पर कॉल करें",ham
व्यक्तिगत ऋण के लिए आपका अनुरोध स्वीकृत हो गया है। अपना आवेदन पूरा करने के लिए हमें 08076351011 पर कॉल करें।,ham
आपको +919311541061 से एक नया व्हाट्स ऐप ग्रुप आमंत्रण प्राप्त हुआ है,scam
"प्रिय ग्राहक, हमने आपके खाते पर एक असामान्य गतिविधि देखी है। कृपया हमारी सेवाओं का उपयोग जारी रखने के लिए अपनी पहचान सत्यापित करें। सत्यापित करने के लिए नीचे दिए गए लिंक पर क्लिक करें: https://www.nokia.com/applications/s/1308",scam
"रमाकांत जी, हमें आपका 210000.00 रुपये का भुगतान आदेश प्राप्त हुआ है। यदि आपने इस राशि का ऑर्डर नहीं दिया है, तो कृपया हमारे टोल फ्री नंबर 011-87667788 पर तुरंत हमसे संपर्क करें। धन्यवाद।",ham
बिल बिल बिल वॉयस मेल 3120882878,ham
"नमस्कार, कृपया अपने फ़ोन को चालू करने के लिए 3000 रुपये का रिचार्ज करें। हमसे संपर्क करने के लिए धन्यवाद।",ham
50 दिनों के लिए सभी इनकमिंग कॉलों के लिए निःशुल्क शुल्क। सक्रियण के लिए 9966845669 पर कॉल करें,ham
"प्रिय ग्राहक, आपका खाता ब्लॉक कर दिया गया है.. इस खाते में ₹1000 का भुगतान करके अनब्लॉक करें",ham
"प्रिय ग्राहक, हमने आपके खाते के सत्यापन के लिए आपसे संपर्क करने का प्रयास किया है, कृपया हमारी सहायता टीम को 09958846490 या 09709236407 पर कॉल करें।",scam
"प्रिय ग्राहक, आपका ओटीपी 8855 है। अधिक सहायता के लिए 1800-180-2222 पर हमसे संपर्क करें।",ham
कैश ऑन डिलीवरी सेवा जल्द ही उपलब्ध होगी।,ham
"नमस्ते, मैं मुंबई हवाई अड्डे के सीमा शुल्क विभाग से बोल रहा हूं। यहां आपका एक पार्सल आपका इंतजार कर रहा है। कृपया हमसे +91 983 791 9148 पर संपर्क करें। धन्यवाद।",scam
यूएसपीएस: मेलबॉक्स लॉकआउट के कारण हम आपका पैकेज वितरित करने में असमर्थ हैं। कृपया अपना मेलबॉक्स अनलॉक करने के लिए लिंक का अनुसरण करें। https://www.usps.com/help/mailbox-lockout.htm,scam
"नमस्ते, बधाई हो कि आपने हमारे अस्तित्व के 25वें वर्ष में 1,000,000 जीते। इस जीत के विवरण के लिए हमसे संपर्क करें।",ham
"भारती एयरटेल ग्राहक सेवा: नमस्कार, आपका एयरटेल पोस्टपेड बिल बकाया है। सेवा विच्छेदन से बचने के लिए कृपया इसका भुगतान ऑनलाइन करें। कृपया भुगतान करने के लिए लिंक पर क्लिक करें: https://www.airtel.in/ payment",scam
आपने 14000000 भारतीय रुपये का लोट्टो पुरस्कार जीता है। कृपया अपने पुरस्कार का दावा करने के लिए हमारे टोल फ्री नंबर +912235075964 पर हमसे संपर्क करें।,ham
"₹7,430.00 सफलतापूर्वक आपके खाते में स्थानांतरित कर दिए गए।",ham
बधाई हो! आपका स्थायी टीएसबी वीज़ा कार्ड स्वीकृत हो गया है। आगे के निर्देशों के लिए कृपया 1890 200 757 पर कॉल करें।,ham
"नमस्ते, मैं भारत में अमेरिकी दूतावास से हूं। ______ नामक एक भारतीय नागरिक के संबंध में एक जरूरी मुद्दा है जिसकी हम मदद करना चाहते हैं। इस व्यक्ति को एक अमेरिकी नागरिक से धन प्राप्त करने की आवश्यकता है। कृपया इस मामले के समाधान के लिए +14155034063 पर हमसे संपर्क करें।",ham
*66*222# ओटीपी: 9659,scam
"प्रिय ग्राहक, हमने आपके खाते में असामान्य गतिविधि का पता लगाया है। खाता ब्लॉक होने से बचने के लिए कृपया तुरंत हमसे संपर्क करें। 9431851684 पर कॉल करें",ham
"प्रिय ग्राहक, हमने पुरस्कार के रूप में आपके खाते में 25000 रुपये सफलतापूर्वक जमा कर दिए हैं, अपना बैलेंस चेक करने के लिए *121*2# डायल करें, धन्यवाद, सादर, ग्राहक संबंध टीम",ham
"*प्रिय ग्राहक, आपका खाता कई गलत पासवर्ड प्रयासों के कारण ब्लॉक कर दिया गया है। कृपया हमारी वेबसाइट https://www.icicibank.com/icici-account-block.aspx पर जाएं और अपने खाते को अनब्लॉक करने के लिए फॉर्म भरें। धन्यवाद। *",ham
"बधाई हो! आपने अमेज़न से 25000 रुपये का नकद पुरस्कार जीता है। इस पुरस्कार का दावा करने के लिए, कृपया नीचे दिए गए लिंक पर क्लिक करें: https://my.amazon.in/rewards/claim-now",ham
आपके 20000/-रु आपके खाते में जमा कर दिए गए हैं।,ham
"वाह वह वाकई आकर्षक है, बस उसकी आँखों को देखो 😍😍😍😍",scam
"नमस्ते, आपका बैंक खाता संदिग्ध गतिविधि के कारण ब्लॉक कर दिया गया है। अपने खाते को अनब्लॉक करने के लिए, कृपया अपने विवरण पर सूचीबद्ध ग्राहक सेवा नंबर पर कॉल करें। धन्यवाद।",ham
"प्रिय ग्राहक, हमने आपके खाते पर एक संदिग्ध गतिविधि देखी है। अधिक सहायता के लिए कृपया इस लिंक पर जाएँ: https://www.icici.com/security-update/। सादर, आईसीआईसीआई बैंक",ham
"प्रिय ग्राहक, विफल लेनदेन के कारण आपका खाता 24 घंटे के लिए ब्लॉक कर दिया गया है। अपना खाता अनलॉक करने के लिए कृपया नीचे दिए गए लिंक पर क्लिक करें और अपनी पहचान सत्यापित करें। https://web.whatsapp.com/123",ham
बधाई हो! आपने हमारी साप्ताहिक लॉटरी में N1500000 जीता है। अधिक जानकारी के लिए टोल फ्री नंबर 09069341839 पर कॉल करें और अपनी जानकारी की पुष्टि करें।,ham
"प्रिय ग्राहक,",ham
"नमस्ते, मैं एसबीआई, मैंगलोर से अनूप कुमार हूं।",scam
"नमस्ते, आपको Redmi Note 10 Pro मुफ़्त के लिए चुना गया है। अपने पुरस्कार का दावा करने के लिए, ""दावा"" और अपने डिवाइस का मॉडल नंबर लिखकर उत्तर दें। #रेडमी #Xiaomi",scam
"आपके पास 2662 रुपये क्रेडिट हैं, अपने बैंक खाते में स्थानांतरित करने के लिए 8897968783 पर विवरण भेजें",ham
अत्यावश्यक: आपके एयरटेल खाते से छेड़छाड़ की गई है। जब तक आप अपना विवरण सत्यापित नहीं कर लेते तब तक आपका खाता अवरुद्ध है। अपना विवरण सत्यापित करने के लिए नीचे दिए गए लिंक पर जाएं https://url.ph/5487-5261-3886-8764-4672,scam
"प्रिय ग्राहक, आपका खाता निलंबित कर दिया गया है। कृपया अपना खाता विवरण सत्यापित करने के लिए यहां लॉग इन करें:- https://www.axisbank.co.in/portal/ किसी भी प्रश्न के मामले में कृपया इस नंबर पर उत्तर दें",ham
कृपया अपना आरबीआई सरप्राइज़ गिफ्ट कार्ड प्राप्त करने के लिए नीचे दिए गए लिंक पर क्लिक करें,scam
"*प्रिय ग्राहक,*",ham
"प्रिय ग्राहक, यदि आपने इसे अभी अपडेट नहीं किया तो आपका खाता ब्लॉक कर दिया जाएगा। कृपया अभी अपडेट करें: http://nkoh.cm/xz92x",ham
"बधाई हो! आपको $200,000 का भव्य पुरस्कार प्राप्त करने के लिए चुना गया है! दावा करने के लिए यहां क्लिक करें: http://tinyurl.com/za2vk3q",scam
"बधाई हो!! आपने 5,000,000 रुपये का लॉटरी पुरस्कार जीता है, आपको बस पंजीकरण के लिए अपना व्यक्तिगत विवरण प्रदान करना है।",ham
നീതിയ ഡോക്യുമെന്റ് ചെയ്യുക പ,ham
"आपने सबसे बड़ी विजेता 2020 प्रतियोगिता जीत ली है। अपने पुरस्कार का दावा करने के लिए हमें कॉल करें, आप इस प्रतियोगिता के विजेता हैं। +19175455087 पर यथाशीघ्र कॉल करें।",ham
यहां क्लिक करें https://tinyurl.com/489997e8,ham
"यह <abbr title=""भारतीय राजस्व सेवा"">IRS</abbr> से है। कृपया अपना टैक्स सत्यापित करने के लिए लिंक <a href='https://bit.ly/3gHN8Nu'>https://bit.ly/3gHN8Nu</a> पर क्लिक करें।",ham
"नमस्ते, मैं एक टेलीकॉम ऑपरेटर हूं। मैं आपको सत्यापन कोड के साथ एक एसएमएस भेजूंगा। अपने नंबर की पुष्टि करने के लिए इसे सत्यापन पृष्ठ पर दर्ज करें: https://bit.ly/3gGKdDw",ham
"नमस्ते, हमें आपके खाते पर एक संदिग्ध गतिविधि का पता चला है। कृपया लिंक पर क्लिक करके अपना विवरण सत्यापित करें: https://bit.ly/309n13J",ham
"प्रिय महोदय/महोदया,",ham
"हाय प्रिय, मैं एशिया में हूं और नकदी की तत्काल आवश्यकता है। मैं एक पर्यटक हूं और मेरा बटुआ और फोन खो गया है। कृपया परिवहन के लिए नकदी की सहायता करें। जब मैं अपने गंतव्य पर पहुंचूंगा तो मैं आपको वापस भुगतान कर सकता हूं। मुझे 7500 रुपए चाहिए। कृपया इस एसएमएस का उत्तर दें",ham
"संदिग्ध गतिविधि के कारण आपका कार्ड ब्लॉक कर दिया गया है. अपना कार्ड अनब्लॉक करने के लिए, कृपया हमारी ग्राहक सेवा को 011-4567-8909 पर कॉल करें।",ham
"नमस्ते, क्या आप जानते हैं कि आपका खाता ब्लॉक कर दिया गया है। अपने खाते को अनब्लॉक करने के लिए कृपया हमें अभी कॉल करें या इस नंबर पर हमें जवाब दें। धन्यवाद।",ham
"आपके पास £1000 का उपहार कार्ड आपका इंतज़ार कर रहा है। इस पर दावा करने के लिए, इसके ख़त्म होने से पहले नीचे दिए गए लिंक पर क्लिक करें। अभी £1000 का उपहार कार्ड प्राप्त करें। https://www.samsclub.com/p/gift-card-1000/prod30",ham
"प्रिय ग्राहक, हमें आपको यह बताते हुए खुशी हो रही है कि आपके खाते को रुपये के तत्काल ऋण के लिए मंजूरी दे दी गई है। 83500. स्थिति की जांच करने के लिए, कृपया हमारी वेबसाइट पर जाएं: https://www.sudhloans.com/login.php",ham
बधाई! आपको लॉटरी के लिए चुना गया है. यहां क्लिक करके अपने पुरस्कार का दावा करें: https://bit.ly/3g5yCps,ham
टाटा डोकोमो 100 पैसा देंगे!!! 180030044993,scam
*आपने 9mobile नेटवर्क से 30 बिलियन नायरा नकद मूल्य जीता है*,ham
"यदि यह वह नंबर है जिससे आप कॉल कर रहे हैं, तो कृपया *300# डायल करें",scam
नोकिया 6.1 प्लस (टीए-1100) माधव 21000,scam
"प्रिय महोदय/महोदया,",scam
"नमस्ते, यह आपके बैंक से एक संदेश है। आपका कार्ड ब्लॉक कर दिया गया है क्योंकि हम आपके खाते पर किसी भी लेनदेन को सत्यापित नहीं कर सके। यदि आप अपना कार्ड अनब्लॉक करना चाहते हैं, तो कृपया हमारे ग्राहक सेवा नंबर पर कॉल करें और 16 अंकों का कार्ड नंबर, समाप्ति तिथि और सीवीवी प्रदान करें। धन्यवाद",ham
"बधाई हो, आपने अमेज़न इंडिया से पुरस्कार जीता है। अपना पुरस्कार प्राप्त करने के लिए इस लिंक पर क्लिक करें। http://www.amazon.in/prize",scam
*मुफ़्त* ₹199 या अधिक के रिचार्ज पर 1GB डेटा। अब सक्रिय करें!,scam
📲 🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟,scam
"प्रिय ग्राहक, आपका टाटा इंडिकॉम नंबर लॉक हो गया है। कृपया अपनी लाइन अनलॉक करने के लिए *121# डायल करें। धन्यवाद।",scam
"नमस्ते, आपने हमारी कंपनी द्वारा आयोजित लॉटरी से 1000 डॉलर जीते हैं। कृपया अपने विवरण के लिए वापस उत्तर दें।",ham
"हमारे लोट्टो में $300000.00 जीतने के लिए बधाई, कृपया अपनी जीत प्राप्त करने के लिए इस नंबर 08448395390 पर कॉल करें।",scam
अपना मोबाइल रिचार्ज कराओ. अपना मोबाइल रिचार्ज करने के लिए *99# डायल करें।,ham
बधाई हो! 🎊🎊🎊,ham
"प्रिय ग्राहक, आपका खाता संदिग्ध गतिविधि के कारण अस्थायी रूप से निलंबित कर दिया गया है",ham
नया 25 एमबी डेटा बूस्ट आपके लिए उपलब्ध है। 99 से रिचार्ज करें और 10 जीबी डेटा बूस्ट पाएं,ham
"आपने ₹1,00,000.00 (एक लाख) का पुरस्कार जीता है। इस पुरस्कार को प्राप्त करने के लिए आपका नंबर यादृच्छिक रूप से चुना गया है। अपने पुरस्कार का दावा करने के लिए, उत्तर संदेश द्वारा अपना पूरा नाम और पता 9037913488 पर भेजें।",ham
नमस्ते {नाम}! आपके द्वारा ऑर्डर किया गया सामान भिजवा दिया गया है। ट्रैकिंग #: 123456789,ham
"प्रिय ग्राहक, भुगतान विफलता के कारण आपका खाता बंद कर दिया गया है। आप UPI या Paytm के माध्यम से भुगतान कर सकते हैं। धन्यवाद।",ham
उत्तेजित समाचार! आपका Apple iMac अब हमारी उत्पाद गारंटी के तहत पूर्ण धन-वापसी के लिए पात्र है।,ham
"आपको बधाई, आपने हमारे प्रोमो ड्रा में 25000000 भारतीय रुपये जीते हैं। अपना पुरस्कार पाने के लिए अब आपको 2000000 भारतीय रुपये का भुगतान करना होगा। धन्यवाद।",ham
"सुप्रभात, मैं डीजीएफआई का स्टाफ हूं। हमने आपका ईमेल इंटरसेप्ट किया और पता चला कि आपके बैंक खाते में बड़ी रकम है। आप इस पैसे को केवल किसी विदेशी खाते में स्थानांतरित करके ही देश से बाहर ले जा सकते हैं। आपको अपनी सहायता के लिए किसी एजेंट से संपर्क करना होगा",scam
"नमस्ते, मैं श्री भरत हरि सिंह हूं,",scam
"नमस्ते,",scam
"नमस्ते,",scam
"नमस्ते, मेरे पास आपके लिए एक त्वरित प्रश्न है।",scam
"प्रिय ग्राहक,",scam
"मैं आपसे मिलकर बहुत खुश हूं, मैं आपके बारे में और जानना चाहता हूं",scam
"प्रिय उपयोगकर्ता,",scam
"नमस्ते। मैं संजय राठौड़, वित्त विभाग से हूं। आपके बैंक खाते में निवेश के लिए $100,000.00 जमा कर दिए गए हैं। कृपया मुझे अपना खाता विवरण भेजें और मैं इसे आपको स्थानांतरित कर दूंगा। बहुत धन्यवाद।",scam
"नमस्ते,",scam
"नमस्ते,",scam
"नमस्ते,",scam
"सुप्रभात, मैं न्यूयॉर्क में भारतीय दूतावास का प्रतिनिधि हूं। हम धोखाधड़ी के एक मामले की जांच कर रहे हैं, कृपया मुझसे इस नंबर पर संपर्क करें: +1-347-205-4563",scam
"प्रिय ग्राहक,",scam
"बैंक-ऑफ-इंडिया(बीओआई) | 2014-10-20 16:37:58 | आपको अभी-अभी अपने किसी से 500,000.00 रुपये की जमा राशि प्राप्त हुई है",scam
#VALUE!,scam
"नमस्ते महोदय,",scam
"शुभ संध्या,",scam
"अरे, मैं एक कॉलेज में पढ़ने वाला छात्र हूं और अपनी खराब वित्तीय स्थिति के कारण, मैं वर्तमान शैक्षणिक वर्ष के लिए अपने कॉलेज की फीस का भुगतान करने में असमर्थ हूं, इसलिए मुझे आपकी मदद की आवश्यकता है। मैं आपसे नीचे उल्लिखित विवरण का उपयोग करके मुझे 40,000 रुपये हस्तांतरित करने का अनुरोध कर रहा हूं:",scam
"प्रिय ग्राहक,",scam
"आपको अपनी आंखों पर यकीन नहीं होगा - ग्रामीण इलाकों में बिक्री बढ़ाने के लिए शॉपिंग स्टोर और मॉल खुल रहे हैं। वे मुफ़्त उत्पाद पेश कर रहे हैं। तो, उनकी बिक्री बढ़ गई। अगर आप ये उत्पाद खरीदना चाहते हैं तो आपको इन्हें दूसरों से पहले खरीदना होगा।'",scam
"अरे, मैं पल्लवी कुमारी हूं। मुझे आशा है कि आप अच्छा कर रहे हैं, मैं पिछले कुछ समय से आपसे संपर्क करने का प्रयास कर रहा हूं। हम फेसबुक पर मिले और मुझे लगा कि मुझे आप तक पहुंचना चाहिए। मैं बस आपको थोड़ा बेहतर जानने की कोशिश कर रहा हूं। मुझे बताओ यदि तुम",scam
"नमस्ते, मैं एक बैंक एजेंट हूं और बैंक के वित्तीय प्रसंस्करण विभाग में काम करता हूं। मेरे पास श्री रिचर्ड थॉमस नाम का एक ग्राहक है जो हमारे साथ ग्राहक है। वह इस समय देश से बाहर हैं और उन्होंने अपनी धनराशि आपके खाते में स्थानांतरित करने का अनुरोध किया है। कृपया अपने बैंक को उत्तर दें",scam
